station_name	lat	lng	formatted_address
Abanpola	7.918970600000001	80.24608289999999	Ambanpola Railway Station, Ambanpola, Sri Lanka
Adagala	7.735893	80.321989	
Ahangama	5.9731431	80.3638208	Ahangama, Matara Road, Ahangama, Sri Lanka
Ahungalle	6.312661899999999	80.03764	Ahungalla Railway Station, Ahungalla, Sri Lanka
Akbopura	8.326735709723062	80.9797095839545	
Akurala	6.192056600000001	80.0648913	Akurala, Akurala, Kahawa, Sri Lanka
Alawatupitiya	7.115814899999999	79.8870192	Alawathupitiya Railway Station, Sri Lanka
Alawwa	7.2933097	80.23859379999999	Alawwa Railway Station, Alawwa-Maharagama Road, Alawwa, Sri Lanka
Aluth Ambalama	6.9367888	80.171662	Hingurala Railway Station, Avissawella Road, Sri Lanka
Aluthgama	6.4329486	80.0002849	Aluthgama Railway Station, Aluthgama, Sri Lanka
Ambalangoda	6.2352477	80.0549912	Ambalangoda, A2, Ambalangoda, Sri Lanka
Ambewela	6.8771336	80.8146143	Ambewela Railway Station, World's End Road, Ambewela, Sri Lanka
Ambeypussa	7.255855965251709	80.16929251768094	
Anawilundawa	7.703179899999999	79.82817829999999	Anawilundawa, Sri Lanka
Andadola	6.2660884	80.0469956	Andadola Station, Berathuduwa Rd, Balapitiya, Sri Lanka
Angampitiya	6.853021699999999	80.10936769999999	Angampitiya Sub Railway Station, Meepe - Ingiriya Rd, Padukka, Sri Lanka
Angulana	6.7989494	79.8726144	Angulana, Moratuwa, Sri Lanka
Anuradhapura	8.344419499999999	80.41083619999999	Railway Station Anuradhapura, Sri Barathindra Mawatha, Anuradhapura, Sri Lanka
Anuradhapura Town	8.344419499999999	80.41083619999999	Railway Station Anuradhapura, Sri Barathindra Mawatha, Anuradhapura, Sri Lanka
Arachchikattuwa	7.6673165	79.8286198	MR8H+WCH, Arachchikattuwa, Sri Lanka
Arapathgama	6.932350131185571	80.13479458306473	
Arukkuwatte	6.842473457732761	80.1006984267063	
Aselapura	7.963563009618002	81.30014088946679	
Asgiriya	7.2981414	80.63548999999999	Wariyapola Sri Sumangala Mawatha, Kandy, Sri Lanka
Aukana	8.0043522	80.5116101	Avukana, Andarawewa-Balaluwewa Rd, Avukana, Sri Lanka
Avissawella	6.954641899999999	80.2073635	Avissawella Railway Station, Avissawella Road, Avissawella, Sri Lanka
Badulla	6.9800441	81.0596801	Badulla Railway Station, Badulla, Sri Lanka
Balana	7.266666499999999	80.4894571	Balana, Sri Lanka
Balapitiya	6.276649099999999	80.04341749999999	Balapitiya, Balapitiya, Sri Lanka
