station_name	time_arrive	time_depart
Colombo Fort		18000
Maradana	18240	18300
Dematagoda	18480	18540
Kelaniya	18780	18840
Wanawasala	19020	19080
Hunupitiya	19260	19320
Enderamulla	19440	19500
Horape	19680	19740
Ragama	19860	19920
Peralanda	20100	20160
Kandana	20340	20400
Kapuwatte	20520	20580
Ja-ela	20700	20760
Tudella	20940	21000
Kudahakapola	21120	21180
Alawatupitiya	21300	21360
Seeduwa	21540	21600
Liyanagemulla	21780	21840
Free Trade Zone	21960	22020
Katunayake	22140	22200
Kurana	22440	22680
Negombo	23160	
