station_name	time_arrive	time_depart
Chilaw		33000
Sawarana	33240	33300
Kakkapalliya	33480	33540
Madampe	33900	33960
Nelumpokuna	34080	34140
Kuda Wawa	34380	34440
Walahapitiya	34680	34740
Nattandiya	34980	35040
Tummodara	35280	35340
Lunuwila	35760	35820
Borelessa	36120	36180
Bolawatte	36420	36480
Waikkala	36660	36720
Kochchikade	36840	36900
Kattuwa	37140	37200
Negombo	37500	37560
Kurana	37860	37920
Katunayake	38160	38220
Free Trade Zone	38340	38400
Liyanagemulla	38520	38580
Seeduwa	38760	38820
Alawatupitiya	39000	39060
Kudahakapola	39180	39240
Tudella	39360	39420
Ja-ela	39600	39660
Kapuwatte	39780	39840
Kandana	39960	40020
Peralanda	40200	40260
Ragama	40440	40500
Horape	40620	40680
Enderamulla	40860	40920
Hunupitiya	41040	41100
Wanawasala	41280	41340
Kelaniya	41520	41580
Dematagoda	41820	41880
Colombo Fort	42840	
