station_name	time_arrive	time_depart
Chilaw		62100
Sawarana	62340	62400
Kakkapalliya	62580	62640
Madampe	63000	63060
Nelumpokuna	63180	63240
Kuda Wawa	63480	63540
Walahapitiya	63780	63840
Nattandiya	64080	64140
Tummodara	64380	64440
Lunuwila	65280	65760
Borelessa	65760	65820
Bolawatte	65940	66000
Kochchikade	66480	67140
Waikkala	66600	66660
Kattuwa	67380	67440
Negombo	67740	67860
Kurana	68160	68220
Katunayake	68280	68340
Liyanagemulla	68640	68700
Free Trade Zone	68640	68700
Seeduwa	69060	69120
Alawatupitiya	69300	69360
Kudahakapola	69480	69540
Tudella	69660	69720
Ja-ela	69900	69960
Kapuwatte	70080	70140
Kandana	70260	70320
Peralanda	70500	70560
Ragama	70740	70800
Horape	70920	70980
Enderamulla	71160	71220
Hunupitiya	71220	71280
Wanawasala	71580	71640
Kelaniya	71820	71880
Dematagoda	72120	72180
Colombo Fort	72540	
