station_name	time_arrive	time_depart
Matara	17940	18000
Kamburugamuwa	18360	18420
Weligama	18900	18960
Ahangama	19440	19500
Habaraduwa	19860	19920
Thalpe	20100	20160
Unawatuna	20460	20520
Katugoda	20640	20700
Galle	21060	21600
Boossa	22080	22140
Hikkaduwa	22680	22740
Ambalangoda	23340	23400
Ahungalle	23880	23940
Aluthgama	24780	24840
Kalutara South	25860	25920
Panadura	26820	26880
Moratuwa	27360	27420
Bambalapitiya	28260	28320
Kollupitiya	28560	28620
Kompannavediya	29400	29520
Secretartat Halt	29640	29700
Colombo Fort	29820	29940
Maradana	30180	
