station_name	time_arrive	time_depart
Maradana		40200
Colombo Fort	40440	40500
Kompannavediya	40680	40740
Kollupitiya	40860	40920
Bambalapitiya	41100	41160
Wellawatta	41340	41400
Dehiwala	41640	41700
Mount Lavinia	41880	41940
Ratmalana	42120	42180
Angulana	42300	42360
Lunawa	42480	42540
Moratuwa	42720	42840
Koralawella	43020	43080
Egoda Uyana	43200	43260
Panadura	43560	43620
Pinwatte	43860	43920
Wadduwa	44160	44220
Train Halt 01	44520	44580
Kalutara North	44880	44940
Kalutara South	45180	45300
Katukurunda	45540	45600
Payagala North	45840	45900
Payagala South	46020	46080
Maggona	46260	46320
Beruwala	46620	46680
Hettimulla	46920	46980
Aluthgama	47220	
