station_name	time_arrive	time_depart
Aluthgama		71400
Bentota	71520	71580
Induruwa	71820	71880
Mha Induruwa	72060	72120
Kosgoda	72300	72360
Piyagama	72540	72600
Ahungalle	72720	72780
Patagamgoda	72900	72960
Balapitiya	73080	73140
Andadola	73260	73320
Kandegoda	73440	73500
Ambalangoda	73620	73680
Madampagama	73800	73860
Akurala	74040	74100
Kahawa	74220	74280
Telwatte	74400	74460
Seenigama	74580	74640
Hikkaduwa	74820	74880
Thiranagama	75060	75120
Kumarakanda	75240	75300
Dodanduwa	75480	75540
Rathgama	75660	75720
Boossa	75960	76020
Piyadigama	76440	76500
Richmond Hill	76680	76740
Galle	76980	
