station_name	time_arrive	time_depart
Seenigama		0
Maradana		52200
Colombo Fort	52440	52800
Mount Lavinia	53700	53760
Moratuwa	54240	54300
Panadura	54780	54840
Kalutara South	55740	55800
Aluthgama	56700	56760
Bentota	56880	56940
Ahungalle	57660	57720
Ambalangoda	58200	58260
Hikkaduwa	58860	58920
Galle	59940	60300
Katugoda	60600	60660
Unawatuna	60780	60840
Thalpe	61140	61200
Habaraduwa	61320	61380
Koggala	61500	62100
Kathaluwa	62220	62280
Ahangama	62460	62520
Midigama	62700	62760
Kumbalgama	62940	63000
Weligama	63180	63240
Polwathumodara	63480	63540
Mirissa	63660	63720
Kamburugamuwa	63900	63960
Walgama	64140	64200
