station_name	time_arrive	time_depart
Galle		11700
Richmond Hill	11940	12000
Piyadigama	12180	12240
Ginthota	12420	12480
Boossa	12660	12720
Rathgama	12960	13020
Dodanduwa	13200	13620
Kumarakanda	13800	13860
Hikkaduwa	14100	14160
Telwatte	14340	14400
Kahawa	14580	14640
Madampagama	14880	14940
Ambalangoda	15120	15180
Kandegoda	15360	15420
Balapitiya	15600	15660
Ahungalle	15900	15960
Kosgoda	16200	16260
Mha Induruwa	16500	16560
Induruwa	16800	16860
Bentota	17100	17160
Aluthgama	17340	17760
Hettimulla	18000	18060
Beruwala	18240	18300
Maggona	18540	18600
Payagala South	18780	18840
Payagala North	19020	19080
Katukurunda	19320	19380
Kalutara South	19620	19740
Kalutara North	19980	20040
Train Halt 01	20280	20340
Wadduwa	20580	20640
Pinwatte	20880	20940
Panadura	21180	21300
Moratuwa	21900	22020
Ratmalana	22440	22500
Mount Lavinia	22680	22740
Bambalapitiya	23280	23340
Kollupitiya	23520	23580
Kompannavediya	24300	24360
Secretartat Halt	24480	24540
Colombo Fort	24660	24780
Maradana	25080	
