station_name	time_arrive	time_depart
Maradana		20340
Colombo Fort	20580	20640
Secretartat Halt	20760	20820
Kompannavediya	20940	21000
Kollupitiya	21120	21180
Bambalapitiya	21360	21420
Wellawatta	21600	21660
Dehiwala	21900	21960
Mount Lavinia	22140	22200
Ratmalana	22380	22440
Angulana	22560	22620
Lunawa	22740	22800
Moratuwa	22920	22980
Koralawella	23160	23220
Egoda Uyana	23340	23400
Panadura	23700	23760
Pinwatte	24000	24060
Wadduwa	24300	24660
Kalutara North	24900	24960
Train Halt 01	24960	25020
Kalutara South	26100	
