station_name	time_arrive	time_depart
Maradana		63000
Colombo Fort	63240	63360
Secretartat Halt	63480	63540
Kompannavediya	63660	63720
Kollupitiya	63840	63900
Bambalapitiya	64080	64140
Wellawatta	64320	64380
Dehiwala	64620	64680
Mount Lavinia	64920	64980
Ratmalana	65100	65160
Angulana	65280	65340
Lunawa	65460	65520
Moratuwa	65700	66300
Koralawella	66480	66540
Egoda Uyana	66660	66720
Panadura	67020	67080
Pinwatte	67320	67380
Wadduwa	67620	67680
Train Halt 01	67980	68040
Kalutara North	68340	68400
Kalutara South	68640	68700
Katukurunda	68940	69000
Payagala North	69240	69300
Payagala South	69420	69480
Maggona	69720	69780
Beruwala	70080	70140
Hettimulla	70320	70380
Aluthgama	71460	
