station_name	time_arrive	time_depart
Aluthgama		19500
Hettimulla	19800	19860
Beruwala	20100	20160
Maggona	20460	20520
Payagala South	20700	20760
Payagala North	20940	21000
Katukurunda	21300	21360
Kalutara South	21660	21720
Kalutara North	21960	22020
Train Halt 01	22320	22380
Wadduwa	22680	22740
Pinwatte	23040	23100
Panadura	23400	23520
Egoda Uyana	23880	23940
Koralawella	24120	24180
Moratuwa	24420	24480
Lunawa	24660	24720
Angulana	24900	24960
Ratmalana	25140	25200
Mount Lavinia		25380
Dehiwala	25680	25740
Bambalapitiya	26340	26400
Kollupitiya	26580	26640
Kompannavediya	26820	26880
Secretartat Halt	27000	27060
Colombo Fort	27180	27300
Maradana	27600	
