station_name	time_arrive	time_depart
Maho		18600
Walaswewa		18960
Timbiriyagedara	19260	19320
Kurahanhenagama		19680
Nagollagama	19800	19860
Mirihanpitigama		20160
Adagala		20340
Weragala		20460
Hiriyala	20640	20700
Uyangalla		20820
Udugodagama		20940
Thambagalla		21180
Ganewatte	21420	21480
Nelumpathgama		21660
Dewedda		21900
Pinnagolla		22080
Porapola Junc.		22260
Porapola		22440
Pahalawardhana		22620
Wellawa	22980	23040
Hadiriwalana		23220
Thuruliyagama		23400
Meddegama		23520
Maraluwewa		23700
Muththettugala	23940	24000
Kurunegala	24300	
