station_name	time_arrive	time_depart
Colombo Fort		60000
Maradana	61440	61560
Dematagoda	61800	61860
Ragama	62580	62640
Ganemulla	63120	63180
Gampaha	63420	63540
Pallewala	63480	63540
Bemmulla	63840	63900
Magulegoda	64080	64140
Ambeypussa	64200	64260
Heendeniya	64260	64320
Veyangoda	64440	64500
Yattalgoda	64440	64500
Buthgamuwa	64680	64740
Alawwa	64980	65040
Mirigama	65220	65280
Polgahawela	65460	65520
Girambe	65880	65940
Talawattegedara	66060	66120
Potuhera	66600	66840
Nailiya	67200	67260
Kurunegala	69720	
