station_name	time_arrive	time_depart
Galle		61500
Richmond Hill	61680	61740
Piyadigama	61860	61920
Ginthota	62040	62100
Boossa	62280	62340
Rathgama	62460	62520
Dodanduwa	62640	62820
Kumarakanda	63000	63060
Thiranagama	63180	63240
Hikkaduwa	63420	63480
Seenigama	63600	63660
Telwatte	63780	63840
Kahawa	63960	64020
Akurala	64140	64200
Madampagama	64380	64440
Ambalangoda	64560	64620
Kandegoda	64740	64800
Andadola	64920	64980
Balapitiya	65100	65700
Patagamgoda	65880	65940
Ahungalle	66060	66120
Piyagama	66240	66300
Kosgoda	66540	66960
Mha Induruwa	67200	67260
Induruwa	67500	67800
Bentota	68040	68100
Aluthgama	68220	
