station_name	time_arrive	time_depart
Piliduwa	48180	48240
Matara		50700
Walgama	50940	51000
Kamburugamuwa	51180	51240
Mirissa	51480	51540
Polwathumodara	51720	51780
Weligama	52020	52080
Kumbalgama	52260	52320
Midigama	52500	52560
Ahangama	52800	52860
Kathaluwa	53040	53100
Koggala	53220	53280
Habaraduwa	53460	53520
Thalpe	53760	53820
Unawatuna	54180	54240
Katugoda	54360	54420
Galle	54780	56100
Hikkaduwa	57240	57360
Ambalangoda	58020	58320
Bentota	59940	60000
Beruwala	60000	60300
Aluthgama	60180	60540
Kalutara South	61740	61860
Panadura	63000	63120
Moratuwa	63720	63780
Mount Lavinia	64380	64440
Dehiwala	64620	64680
Colombo Fort	65100	65220
Maradana	65520	
