station_name	time_arrive	time_depart
Aluthgama		49800
Hettimulla	50040	50100
Beruwala	50340	50400
Maggona	50700	50760
Payagala South	50940	51000
Payagala North	51120	51180
Katukurunda	51420	51480
Kalutara South	51720	51780
Kalutara North	52020	52080
Train Halt 01	52380	52440
Wadduwa	52740	52800
Pinwatte	53040	53100
Panadura	53340	53400
Moratuwa	53940	54000
Lunawa	54180	54240
Angulana	54360	54420
Ratmalana	54540	54600
Dehiwala	54900	54960
Bambalapitiya	55380	55440
Kollupitiya	55620	55680
Kompannavediya	55800	55860
Secretartat Halt	55980	56040
Colombo Fort	56160	56220
Maradana	56460	
