station_name	time_arrive	time_depart
Colombo Fort		71400
Maradana	71640	71700
Dematagoda	71880	71940
Kelaniya	72180	72240
Wanawasala	72360	72420
Hunupitiya	72540	72600
Enderamulla	72720	72780
Horape	72960	73020
Ragama	73140	73620
Walpola	73380	73440
Batuwatte	73560	73620
Bulugahagoda	73740	73800
Ganemulla	73920	73980
Yagoda	74160	74220
Gampaha	74400	74460
Daraluwa	74640	74700
Magalegoda	75120	75180
Heendeniya	75300	75360
Veyangoda	75540	75600
Wandurawa	75720	75780
Keenawala	75900	75960
Pallewala	76140	76200
Ganegoda	76320	76380
Wijayarajadahana	76500	76560
Mirigama	76680	76740
Wilwatte	76920	76980
Botale	77100	77160
Ambeypussa	77280	77340
Yattalgoda	77580	77640
Buthgamuwa	77820	77880
Alawwa	78120	78180
Wlakubura	78420	78480
Polgahawela	78720	79200
Panaleeya	79440	79500
Yatagama	79560	79620
Tismalpola	79740	79800
Rambukkana	80880	
