station_name	time_arrive	time_depart
Colombo Fort		62100
Maradana	62340	62400
Pallewala	65220	65280
Dematagoda	65880	65940
Ambeypussa	66000	66060
Kelaniya	66180	66240
Yattalgoda	66300	66360
Buthgamuwa	66540	66600
Ragama	66720	66780
Alawwa	66840	66900
Wlakubura	67140	67200
Ganemulla	67260	67320
Polgahawela	67440	67740
Gampaha	67560	67620
Girambe	68100	68160
Veyangoda	68280	68340
Talawattegedara	68340	68400
Keenawala	68580	68640
Potuhera	68940	69000
Mirigama	69180	69240
Nailiya	69300	69360
Wilwatte	69420	69480
Botale	69600	69660
Kurunegala	69720	69780
Muththettugala	69960	70020
Wellawa	70440	70500
Ganewatte	71220	
