station_name	time_arrive	time_depart
Ambeypussa		58500
Botale	58620	58680
Wilwatte	58800	58860
Mirigama	59040	59100
Wijayarajadahana	59220	59280
Ganegoda	59400	59460
Pallewala	59580	59640
Keenawala	59820	59880
Wandurawa	60000	60060
Veyangoda	60240	60720
Heendeniya	60900	60960
Magalegoda	61080	61140
Bemmulla	61320	61380
Daraluwa	61560	61620
Gampaha	61800	61860
Yagoda	61980	62040
Ganemulla	62220	62280
Bulugahagoda	62400	62460
Batuwatte	62580	62640
Walpola	62760	62820
Ragama	63000	63420
Horape	63540	63600
Enderamulla	63780	63840
Hunupitiya	63960	64020
Wanawasala	64140	64200
Kelaniya	64380	64440
Dematagoda	64620	64680
Maradana	65400	
