station_name	time_arrive	time_depart
Dekinda		0
Nanuoya	13500	18000
Great Western	14580	14640
Watagoda	15300	15360
Talawakele	16260	16320
Kotagala	17220	17280
Hatton	17940	18000
Rosella	18960	19020
Ihalawatawala	19560	19620
Watawala	19980	20040
Galaboda	21180	21480
Pemrose	21900	21960
Inguruoya	22440	22500
Hyinport	22980	23040
Nawalapitiya	23400	23700
Ulapane	24600	24660
Tembligala	25140	25200
Gampola	25680	25740
Gelioya	26640	26700
Koshinna	26940	27000
Sarasaviuyana	27120	27180
Kandy	27780	
