station_name	time_arrive	time_depart
Chilaw		45600
Sawarana	45840	45900
Kakkapalliya	46080	46140
Madampe	46500	46560
Nelumpokuna	46680	46740
Kuda Wawa	46980	47040
Walahapitiya	47280	47340
Nattandiya	47580	47640
Tummodara	47880	47940
Lunuwila	48360	48420
Borelessa	48720	48780
Bolawatte	49020	49080
Waikkala	49260	49320
Kochchikade	49440	49500
Kattuwa	49740	49800
Negombo	50100	50400
Kurana	50700	50760
Katunayake	51000	51060
Free Trade Zone	51180	51240
Liyanagemulla	51360	51420
Seeduwa	51600	51660
Alawatupitiya	51840	51900
Kudahakapola	52020	52080
Tudella	52200	52260
Ja-ela	52440	52500
Kapuwatte	52620	52680
Kandana	52800	52860
Peralanda	53040	53100
Ragama	53280	53400
Horape	53520	53580
Enderamulla	53760	53820
Hunupitiya	53940	54000
Wanawasala	54180	54240
Kelaniya	54420	54480
Dematagoda	54720	54780
Colombo Fort	55740	
