station_name	time_arrive	time_depart
Galle		19500
Richmond Hill	19740	19800
Piyadigama	19980	20040
Ginthota	20220	20280
Boossa	20460	20520
Rathgama	20760	20820
Dodanduwa	20940	21000
Kumarakanda	21180	21240
Thiranagama	21360	21420
Hikkaduwa	21600	21660
Seenigama	21840	21900
Telwatte	22020	22080
Kahawa	22200	22260
Akurala	22380	22440
Madampagama	22620	22680
Ambalangoda	22800	22860
Kandegoda	22980	23040
Andadola	23160	23220
Balapitiya	23340	23880
Patagamgoda	23580	23640
Ahungalle	24300	24360
Koralawella	24420	24480
Piyagama	24480	24540
Kosgoda	24720	24780
Mha Induruwa	24960	25020
Induruwa	25380	25980
Aluthgama	25800	25860
Hettimulla	26100	26160
Bentota	26340	26400
Maggona	26760	26820
Payagala South	27000	27060
Beruwala	27060	27120
Payagala North	27180	27240
Katukurunda	27480	27540
Kalutara South	28440	29280
Kalutara North	29520	29580
Train Halt 01	29880	29940
Wadduwa	30240	30300
Pinwatte	30600	30660
Panadura	30960	31020
Egoda Uyana	31380	31440
Moratuwa	31920	31980
Lunawa	31980	32040
Ratmalana	32340	32400
Angulana	32340	32400
Mount Lavinia	32580	
