station_name	time_arrive	time_depart
Maradana		60000
Panadura	62460	62520
Colombo Fort	62640	62700
Secretartat Halt	62820	62880
Kompannavediya	63000	63060
Kollupitiya	63180	63240
Bambalapitiya	63420	63480
Ratmalana	64080	64140
Aluthgama	65400	65460
Kalutara South	65820	65880
Ambalangoda	65880	65940
Hikkaduwa	66540	66600
Beruwala	66600	66660
Boossa	67140	67200
Induruwa	67320	67380
Galle	67560	68100
Kosgoda	67680	67740
Ahungalle	67920	67980
Balapitiya	68220	68280
Thalpe	68700	68760
Kahawa	68940	69000
Habaraduwa	68940	69000
Ahangama	69360	69420
Weligama	69900	69960
Kamburugamuwa	70080	70140
Matara	70500	
