station_name	time_arrive	time_depart
Aluthgama		58500
Hettimulla	58740	58800
Beruwala	59040	59100
Maggona	59400	59460
Payagala South	59640	60000
Payagala North	60120	60180
Katukurunda	60420	60480
Kalutara South	60720	62400
Kalutara North	62640	62700
Train Halt 01	63000	63060
Wadduwa	63360	63420
Pinwatte	63600	63660
Panadura	63900	63960
Moratuwa	64500	64560
Angulana	64800	64860
Ratmalana	64980	65040
Mount Lavinia	65220	65280
Dehiwala	65460	65520
Wellawatta	65760	65820
Bambalapitiya	66000	66060
Kollupitiya	66240	66300
Kompannavediya	66420	66480
Colombo Fort	66780	
