station_name	time_arrive	time_depart
Colombo Fort		66600
Maradana	66840	66900
Baseline Road	67140	67200
Cotta Road	67380	67440
Narahenpita	67680	67740
Kirulapana	67980	68040
Nugegoda	68280	68340
Pangiriwatta	68520	68580
Udhamulla	68700	68760
Nawinna	68940	69000
Maharagama	69120	69180
Pannipitiya	69480	69540
Kottawa	69780	69840
Malapalle	70020	70080
Homagama Hospital	70320	70380
Homagama	70500	70560
Panagoda	70740	70800
Godagama	70980	71040
Meegoda	71280	71340
Wataraka	71520	71580
Liyanwala	71760	71820
Padukka	72000	72060
Arukkuwatte	72240	72300
Angampitiya	72420	72480
Uggalla	72600	72660
Pinnawala	72780	72840
Gammana	73020	73080
Morakele	73200	73260
Waga	73500	73560
Kadugoda	73800	73860
Arapathgama	73980	74040
Kosgama	74220	
