station_name	time_arrive	time_depart
Rambukkana		19500
Yatagama	19800	19860
Tismalpola	20040	20100
Panaleeya	20280	20340
Polgahawela	20580	20640
Wlakubura	20880	20940
Alawwa	21180	21240
Buthgamuwa	21480	21540
Yattalgoda	21720	21780
Ambeypussa	22020	22320
Botale	22440	22500
Wilwatte	22620	22680
Mirigama	22860	22920
Wijayarajadahana	23100	23160
Pallewala	23220	23280
Ganegoda	23280	23340
Keenawala	23460	23520
Wandurawa	23640	23700
Veyangoda	23820	23880
Heendeniya	24060	24120
Magalegoda	24240	24300
Bemmulla	24720	24780
Daraluwa	24960	25020
Gampaha	24960	25020
Ganemulla	25320	25380
Batuwatte	25620	25680
Yagoda	25740	25800
Walpola	25800	25860
Ragama	26040	26280
Bulugahagoda	26220	26280
Kelaniya	26940	27000
Horape	27000	27060
Enderamulla	27240	27300
Dematagoda	27240	27300
Hunupitiya	27420	27480
Wanawasala	28020	28080
Colombo Fort	28800	
