station_name	time_arrive	time_depart
Maradana		65400
Colombo Fort	65700	65820
Secretartat Halt	65940	66000
Kompannavediya	66120	66180
Kollupitiya	66300	66360
Bambalapitiya	66540	66600
Moratuwa	67620	67680
Panadura	68280	68340
Kalutara South	69420	69480
Payagala South	70080	70140
Beruwala	70500	70560
Aluthgama	70980	71040
Balapitiya	72000	72060
Ambalangoda	72360	72420
Hikkaduwa	73080	73140
Boossa	73800	73860
Galle	74400	75000
Katugoda	75360	75420
Unawatuna	75540	75600
Thalpe	75960	76020
Habaraduwa	76200	76260
Koggala	76380	76440
Kathaluwa	76560	76620
Ahangama	76800	76860
Midigama	77100	77160
Kumbalgama	77280	77340
Weligama	77520	77580
Polwathumodara	77820	77880
Matara	77880	78000
Mirissa	78000	78060
Kamburugamuwa	78300	78360
Walgama	78540	78600
