station_name	time_arrive	time_depart
Maradana		50400
Colombo Fort	50700	50760
Kompannavediya	50940	51000
Kollupitiya	51120	51180
Bambalapitiya	51360	51420
Wellawatta	51600	51660
Dehiwala	51900	51960
Mount Lavinia	52140	52200
Ratmalana	52380	52440
Angulana	52560	52620
Lunawa	52740	52800
Moratuwa	52980	53040
Koralawella	53220	53280
Egoda Uyana	53400	53460
Panadura	53760	53820
Pinwatte	54060	54120
Wadduwa	54360	54420
Train Halt 01	54660	54720
Kalutara North	54960	55020
Kalutara South	55260	55320
Katukurunda	55500	55560
Payagala North	55740	55800
Payagala South	55920	56340
Maggona	56460	56520
Beruwala	56700	57180
Hettimulla	57360	57420
Aluthgama	58260	
