station_name	time_arrive	time_depart
Maradana		58500
Colombo Fort	58740	58800
Secretartat Halt	58920	58980
Kompannavediya	59100	59160
Kollupitiya	59280	59340
Bambalapitiya	59520	59580
Wellawatta	59760	59820
Dehiwala	60060	60120
Mount Lavinia	60300	60360
Ratmalana	60540	60600
Angulana	60720	60780
Lunawa	60900	60960
Moratuwa	61140	61200
Koralawella	61380	61440
Egoda Uyana	61560	61620
Panadura	61920	61980
Pinwatte	62220	62280
Wadduwa	62520	62580
Train Halt 01	62880	62940
Kalutara North	63240	63300
