station_name	time_arrive	time_depart
Colombo Fort		47400
Maradana	47640	47700
Dematagoda	47880	47940
Kelaniya	48180	48240
Wanawasala	48420	48480
Hunupitiya	48660	48720
Enderamulla	48840	48900
Horape	49080	49140
Ragama	49260	49320
Peralanda	49500	49560
Kandana	49740	49800
Kapuwatte	49920	49980
Ja-ela	50100	50160
Tudella	50340	50400
Kudahakapola	50520	50580
Alawatupitiya	50700	50760
Seeduwa	50940	51000
Liyanagemulla	51180	51240
Free Trade Zone	51360	51420
Katunayake	51540	51600
Kurana	51840	51900
Negombo	52200	52260
Kattuwa	52560	52620
Kochchikade	52860	52920
Waikkala	53040	53100
Bolawatte	53280	53340
Borelessa	53580	53640
Lunuwila	53940	54000
Tummodara	54420	54480
Nattandiya	54720	54780
Walahapitiya	55020	55080
Kuda Wawa	55320	55380
Nelumpokuna	55620	55680
Madampe	61500	
