station_name	time_arrive	time_depart
Aluthgama		21600
Hettimulla	22140	22200
Beruwala	22140	22200
Payagala South	22680	22740
Maggona	22740	22800
Payagala North	22860	22920
Katukurunda	23460	23520
Kalutara North	23760	23820
Kalutara South	23760	23880
Train Halt 01	24120	24180
Wadduwa	24420	24480
Panadura	25020	25080
Pinwatte	25200	25260
Lunawa	25860	25920
Angulana	26040	26100
Egoda Uyana	26100	26160
Koralawella	26280	26340
Moratuwa	26520	26580
Dehiwala	26700	26760
Ratmalana	27120	27180
Mount Lavinia	27360	27420
Kollupitiya	27360	27420
Wellawatta	27900	27960
Bambalapitiya	28140	28200
Kompannavediya	28560	28620
Secretartat Halt	28680	28800
Colombo Fort	28920	29040
Maradana	29280	
