station_name	time_arrive	time_depart
Kotagala	2280	2340
Watawala	5520	5580
Gampola	9840	9900
Arukkuwatte	28920	32580
Maharagama		29520
Pannipitiya	29820	29880
Kandy		30000
Kottawa	30120	30180
Malapalle	30360	30420
Homagama Hospital	30660	30720
Homagama	30840	30900
Panagoda	31080	31140
Godagama	31320	31380
Meegoda	31620	31680
Wataraka	31860	31920
Liyanwala	32040	32100
Padukka	32280	32340
Angampitiya	32700	32760
Uggalla	32880	32940
Pinnawala	33060	33120
Gammana	33300	33360
Morakele	33480	33540
Waga	33780	33840
Kadugoda	34080	34140
Arapathgama	34320	34380
Heel Oya	75480	75540
Haputale	77700	77760
Bandarawela	78060	78180
Diyatalawa	78900	78960
Great Western	86160	86220
