station_name	time_arrive	time_depart
Palavi	76320	76380
Colombo Fort		62280
Maradana	62580	62640
Dematagoda	62880	62940
Kelaniya	63240	63300
Ragama	63840	63900
Kandana	64140	64200
Peralanda	64140	64200
Ja-ela	64500	64560
Kapuwatte	64680	64740
Tudella	65160	65220
Kudahakapola	65400	65460
Free Trade Zone	65520	65580
Alawatupitiya	65640	65700
Seeduwa	65880	65940
Liyanagemulla	66120	66180
Negombo	66180	66300
Katunayake	66600	66660
Kattuwa	66600	66660
Kurana	66900	67260
Kochchikade	66960	67020
Waikkala	67260	67320
Bolawatte	67560	67620
Borelessa	67860	67920
Lunuwila	68220	68280
Nattandiya	69000	69060
Walahapitiya	69300	69360
Kuda Wawa	69600	69660
Tummodara	69840	69900
Nelumpokuna	69900	69960
Madampe	70140	70200
Kakkapalliya	70560	70620
Sawarana	70800	70860
Chilaw	71100	71280
Manuwangama	71700	71760
Bangadeniya	72000	72060
Arachchikattuwa	72300	72360
Anawilundawa	72600	72660
Battaluoya	72900	72960
Pulachchikulam	73200	73260
Mundal	73560	73620
Mangalaeliya	74160	74220
Madurankuliya	74580	74640
Erukkalam Pendu	75060	75120
Puttalam	75900	
