station_name	time_arrive	time_depart
Galle		31800
Richmond Hill	32040	32100
Piyadigama	32280	32340
Ginthota	32520	32580
Boossa	32760	33120
Rathgama	33360	33420
Dodanduwa	33600	33720
Kumarakanda	33900	33960
Thiranagama	34080	34140
Hikkaduwa	34260	34380
Seenigama	34560	34620
Telwatte	34740	34800
Kahawa	34980	35040
Akurala	35160	35220
Madampagama	35400	35460
Ambalangoda	35640	35820
Kandegoda	36000	36060
Andadola	36240	36300
Balapitiya	36420	36840
Patagamgoda	37020	37080
Ahungalle	37200	37260
Piyagama	37380	37440
Kosgoda	37560	37620
Mha Induruwa	37860	37920
Induruwa	38160	38280
Bentota	38520	38580
Aluthgama	38760	39300
Hettimulla	39540	39600
Beruwala	39840	39900
Maggona	40140	40200
Payagala South	40380	40440
Payagala North	40620	40680
Katukurunda	40980	41040
Kalutara South	41280	41460
Moratuwa	43380	43620
Panadura	44160	44640
Colombo Fort	46980	
