station_name	time_arrive	time_depart
Jaffna		23100
Punkankulam	23280	23340
Navatkuli	23640	23700
Thachanthoppu	23880	23940
Chavakachcheri	24240	24300
Sankathanai	24480	24540
Meesalai	24720	24780
Kodikamam	24960	25020
Mirusuvil	25260	25320
Eluthumattuval	25560	25620
Pallai	26040	26100
Eliphant Pass	26940	27000
Paranthan	27420	27480
Kilinochchi	27780	27840
Murikandy	28680	28740
Mankulam	29640	29700
Puliyankulam	30780	30840
Omanthai	31500	31560
Thandikulam	32220	32280
Vavuniya	32520	32640
Erattaperiyakulam	33120	33180
Poonewa	33900	33960
Medawachchiya	34500	35400
Medagama	36060	36120
Parasangahawewa	36360	36480
Saliyapura	37020	37080
Mihintale Junction	37380	37440
Anuradhapura	37680	38820
Anuradhapura Town	39120	39180
Srawasthipura	39540	39600
Talawa	40200	40260
Thambuttegama	41100	41160
Senarathgama	41820	41880
Galgamuwa	42660	42720
Abanpola	43440	43500
Randenigama	44100	44160
Maho	44400	44880
Timbiriyagedara	45300	45360
Nagollagama	45660	45720
Hiriyala	46140	46200
Ganewatte	46740	46800
Wellawa	47580	47640
Muththettugala	48180	48240
Kurunegala	48420	48720
Nailiya	49080	49140
Potuhera	49560	50760
Talawattegedara	51300	51360
Girambe	51540	51600
Polgahawela	52020	52200
Mirigama	53580	53640
Veyangoda	54360	54480
Gampaha	55140	55260
Ragama	55920	56040
Colombo Fort	57600	
