station_name	time_arrive	time_depart
Colombo Fort		67500
Maradana	67740	67800
Dematagoda	67980	68040
Hunupitiya	68640	68700
Enderamulla	68820	68880
Horape	69060	69120
Ragama	69240	69720
Wanawasala	69660	69720
Walpola	69900	69960
Bulugahagoda	70260	70320
Ganemulla	70440	70500
Gampaha	70860	70920
Daraluwa	71100	71160
Batuwatte	71160	71220
Yagoda	71760	71820
Kelaniya	71880	68340
Veyangoda	72000	72420
Wandurawa	72540	72600
Magalegoda	72660	72720
Heendeniya	72840	72900
Pallewala	72960	73020
Ganegoda	73140	73200
Wijayarajadahana	73320	73380
Keenawala	73440	73500
Mirigama	73500	73560
Ambeypussa	74100	74160
Yattalgoda	74400	74460
Wilwatte	74460	74520
Botale	74640	74700
Buthgamuwa	74640	74700
Alawwa	74940	75000
Polgahawela	75600	
