station_name	time_arrive	time_depart
Yapahuwa		0
Colombo Fort		21900
Maradana	22140	22200
Ragama	23160	23220
Gampaha	23880	23940
Veyangoda	24540	24600
Mirigama	25260	25320
Polgahawela	26640	26760
Potuhera	27840	27900
Kurunegala	28560	28620
Muththettugala	28800	28860
Wellawa	29400	29460
Ganewatte	30300	30540
Nagollagama	31380	31440
Maho	32100	33300
Konwewa	34260	34320
Moragollagama	35280	35340
Siyalangamuwa	35760	35820
Aukana	36660	36720
Kalawewa	37080	37920
Kekirawa	38760	38820
Horiwiala	39720	39780
Palugaswewa	40080	40140
Habarana	40680	40740
Galoya Junction	42000	42300
Hingurakgoda	43620	43680
Polonnaruwa	44880	45000
Manampitiya	45780	45840
Sevanapitiya	46500	46560
Welikanda	47220	47280
Redeethenna	48120	48180
Punani	48720	48780
Valachchenei	50160	50220
Eravur	51660	51780
Batticaloa	53100	
