station_name	time_arrive	time_depart
Colombo Fort		40500
Maradana	40740	40800
Dematagoda	40980	41040
Kelaniya	41280	41340
Wanawasala	41460	41520
Hunupitiya	41640	41700
Enderamulla	41820	41880
Horape	42060	42120
Ragama	42240	42300
Walpola	42480	42540
Batuwatte	42660	42720
Bulugahagoda	42840	42900
Ganemulla	43020	43080
Yagoda	43260	43320
Gampaha	43440	43500
Daraluwa	43680	43740
Magalegoda	44160	44220
Heendeniya	44340	44400
Veyangoda	44580	45120
Wandurawa	45240	45300
Keenawala	45420	45480
Bemmulla	45480	45540
Pallewala	45660	45720
Ganegoda	45840	45900
Wijayarajadahana	46020	46080
Mirigama	46200	46260
Wilwatte	46440	46500
Botale	46620	46680
Ambeypussa	46800	46860
Yattalgoda	47100	47160
Buthgamuwa	47340	47400
Alawwa	47640	47700
Wlakubura	47940	48000
Polgahawela	48180	48240
Panaleeya	48540	48600
Tismalpola	48840	48900
Yatagama	50160	50220
Rambukkana	50520	
