station_name	time_arrive	time_depart
Badulla		36900
Haliela	37800	37860
Uduwara	38400	38460
Demodara	39300	39360
Elle	40260	40320
Kital Elle	40620	40680
Heel Oya	41220	41280
Kinigama	41760	41820
Bandarawela	42180	42300
Diyatalawa	43140	43260
Haputale	43980	44040
Idalgasinna	45000	45060
Ohiya	46200	46260
Pattipola	47100	47160
Ambewela	47580	48000
Nanuoya	49860	50100
Radella	50640	50700
Great Western	51180	51240
Watagoda	52080	52140
Talawakele	52980	53040
Kotagala	53880	54000
Hatton	54660	54780
Rosella	55680	55740
Ihalawatawala	56280	56340
Watawala	56640	56700
Galaboda	57720	57780
Inguruoya	58440	58500
Nawalapitiya	59160	59400
Ulapane	60120	60180
Gampola	60900	61020
Peradeniya	62100	62220
Pilimatalawa	62940	63000
Kadugannawa	63420	63720
Balana	64200	64260
Ihalakotte	64860	64920
Kadigamuwa	65520	66420
Rambukkana	67080	67260
Polgahawela	67920	67980
Mirigama	69240	69300
Veyangoda	70020	70080
Gampaha	70680	70740
Ragama	71520	71580
Colombo Fort	76200	
