station_name	time_arrive	time_depart
Colombo Fort		14400
Maradana	14640	14700
Dematagoda	14880	14940
Kelaniya	15180	15240
Wanawasala	15420	15480
Hunupitiya	15660	15720
Enderamulla	15840	15900
Horape	16080	16140
Ragama	16260	16320
Peralanda	16500	16560
Kandana	16740	16800
Kapuwatte	16920	16980
Ja-ela	17100	17160
Tudella	17340	17400
Kudahakapola	17520	17580
Alawatupitiya	17700	17760
Seeduwa	17940	18000
Liyanagemulla	18180	18240
Free Trade Zone	18360	18420
Katunayake	18540	18600
Kurana	18840	18900
Negombo	19200	19260
Kattuwa	19560	19620
Kochchikade	19860	19920
Waikkala	20040	20100
Bolawatte	20280	21060
Borelessa	21300	21360
Lunuwila	21660	22200
Tummodara	22620	22680
Nattandiya	22920	23340
Walahapitiya	23580	23640
Kuda Wawa	23880	23940
Nelumpokuna	24180	24240
Madampe	24360	24420
Kakkapalliya	24780	24840
Sawarana	25020	25080
Chilaw	25320	25440
Manuwangama	25860	25920
Bangadeniya	26160	26220
Arachchikattuwa	26460	26520
Anawilundawa	26760	26820
Battaluoya	27060	27120
Pulachchikulam	27360	27420
Mundal	27720	27780
Mangalaeliya	28320	28380
Madurankuliya	28740	28800
Erukkalam Pendu	29220	29280
Palavi	29400	29460
Thilladiya	29700	29760
Puttalam	29940	30000
Nooranagar	30300	
