station_name	time_arrive	time_depart
Kandy		55500
Sarasaviuyana	55920	55980
Peradeniya	56100	56880
Pilimatalawa	57480	57540
Kadugannawa	57960	58020
Balana	58500	58560
Ihalakotte	59160	59400
Gangoda	59760	59820
Kadigamuwa	60180	60240
Rambukkana	60900	61080
Yatagama	61380	61440
Tismalpola	61620	61680
Panaleeya	61860	61920
Polgahawela	62100	62160
Alawwa	62640	62700
Buthgamuwa	62820	62880
Ambeypussa	63240	63300
Mirigama	63780	63840
Veyangoda	64440	64500
Gampaha	65100	65160
Ragama	65820	65880
Colombo Fort	67800	
