station_name	time_arrive	time_depart
Palavi		53700
Mundal	55020	55080
Bangadeniya	56160	56220
Chilaw	56820	56880
Madampe		57600
Nelumpokuna	57720	57780
Kuda Wawa		58020
Walahapitiya	58320	58380
Nattandiya	58620	59340
Tummodara	59580	59640
Lunuwila	60000	60060
Borelessa	60360	60420
Bolawatte	60660	60720
Waikkala	60900	60960
Kochchikade	61080	61140
Kattuwa	61380	61440
Negombo	61680	61740
Kurana	61980	62040
Katunayake	62280	62340
Free Trade Zone	62460	62520
Liyanagemulla	62640	62700
Seeduwa	62880	62940
Alawatupitiya	63120	63180
Kudahakapola	63300	63360
Tudella	63480	63540
Ja-ela	63720	63780
Kapuwatte	63900	63960
Kandana	64080	64140
Peralanda	64320	64380
Ragama	64560	64620
Horape	64740	64800
Enderamulla	64980	65040
Hunupitiya	65160	65220
Wanawasala	65400	65460
Kelaniya	65640	65700
Dematagoda	65940	66000
Colombo Fort	66480	
