station_name	time_arrive	time_depart
Colombo Fort		31800
Maradana	32100	32160
Ragama	33240	33360
Ganemulla	33840	33900
Gampaha	34200	34320
Veyangoda	35100	35220
Pallewala	35640	35700
Mirigama	36300	36360
Ambeypussa	36840	36900
Alawwa	37560	37620
Polgahawela	38100	38400
Girambe	38820	38880
Talawattegedara	39180	39240
Potuhera	39780	39840
Nailiya	40200	40260
Kurunegala	40560	40680
Muththettugala	40860	40920
Wellawa	41460	41520
Ganewatte	42360	42420
Hiriyala	42900	42960
Nagollagama	43440	43500
Timbiriyagedara	43800	43860
Maho	44220	44700
Randenigama	44940	45000
Abanpola	45600	45660
Galgamuwa	46380	46440
Senarathgama	47220	47280
Thambuttegama	48000	48060
Talawa	48900	48960
Srawasthipura	49620	50520
Anuradhapura Town	50880	50940
Anuradhapura	51240	52500
Mihintale Junction	52740	52800
Saliyapura	53100	53160
Parasangahawewa	53760	53820
Medagama	54060	54120
Medawachchiya	54900	55500
Neriyakulam	56280	56340
Cheddiikulam	56880	57000
Madhu Road	58440	58620
Murunkan	59400	59460
Mathottam	60000	60060
Thiiruketheeswaram	60480	60540
Mannar	61140	61380
Thoddaveli	61860	61920
Pesalai	62460	62580
Talaimannar Pier	63900	
