station_name	time_arrive	time_depart
Kelaniya	54060	54120
Dematagoda	54360	54420
Kurunegala		45300
Nailiya	45660	45720
Potuhera	46020	46080
Talawattegedara	46620	46680
Girambe	46860	46920
Polgahawela	47280	47340
Wlakubura	47580	47640
Alawwa	47880	47940
Buthgamuwa	48180	48240
Yattalgoda	48420	48480
Ambeypussa	48720	48780
Botale	48900	48960
Wilwatte	49080	49140
Mirigama	49320	49380
Wijayarajadahana	49560	49620
Ganegoda	49740	49800
Pallewala	49920	49980
Keenawala	50160	50220
Wandurawa	50340	50400
Veyangoda	50520	50580
Heendeniya	50760	50820
Magulegoda	50940	51000
Daraluwa	51420	51480
Gampaha	51660	51720
Ganemulla	52140	52200
Bulugahagoda	52380	52440
Batuwatte	52560	52620
Walpola	52740	52800
Ragama	52980	53040
Enderamulla	53400	53460
Hunupitiya	53580	53640
Colombo Fort	54000	
