station_name	time_arrive	time_depart
Chilaw		17400
Sawarana	17640	17700
Kakkapalliya	17880	17940
Madampe	18300	18360
Nelumpokuna	18540	18600
Kuda Wawa	18840	18900
Walahapitiya	19140	19200
Nattandiya	19440	19500
Tummodara	19740	19800
Lunuwila	20220	20280
Borelessa	20580	20640
Bolawatte	20880	20940
Waikkala	21180	21240
Kochchikade	21480	21540
Kattuwa	21840	21900
Negombo	22200	22260
Kurana	22560	22620
Katunayake	22860	22920
Free Trade Zone	23100	23160
Liyanagemulla	23280	23340
Seeduwa	23520	23580
Alawatupitiya	23760	23820
Kudahakapola	24000	24060
Tudella	24180	24240
Ja-ela	24420	24480
Kapuwatte	24660	24720
Kandana	24900	24960
Peralanda	25200	25260
Ragama	25440	25500
Kelaniya	26100	26160
Dematagoda	26460	26520
Maradana	27000	
