station_name	time_arrive	time_depart
Enderamulla	66780	66840
Hunupitiya	66960	67020
Wanawasala	67140	67200
Kelaniya	67320	67380
Dematagoda	67620	67680
Rambukkana		59100
Yatagama	59400	59460
Tismalpola	59580	59640
Panaleeya	59820	59880
Polgahawela	60120	60180
Wlakubura	60420	60480
Alawwa	60720	60780
Buthgamuwa	61020	61080
Yattalgoda	61260	61320
Ambeypussa	61560	61620
Botale	61740	61800
Wilwatte	61920	61980
Mirigama	62160	62220
Wijayarajadahana	62340	62400
Ganegoda	62520	62580
Pallewala	62700	62760
Keenawala	62940	63000
Wandurawa	63120	63180
Veyangoda	63300	63660
Heendeniya	63840	63900
Magalegoda	64020	64080
Bemmulla	64260	64320
Daraluwa	64500	64560
Gampaha	64740	64800
Yagoda	64920	64980
Ganemulla	65160	65220
Bulugahagoda	65340	65400
Batuwatte	65520	65580
Walpola	65700	65760
Ragama	65940	66420
Horape	66540	66600
Colombo Fort	66720	
