station_name	time_arrive	time_depart
Kalutara South		44400
Kalutara North	44640	44700
Train Halt 01	45000	45060
Wadduwa	45360	45420
Pinwatte	45720	45780
Panadura	46080	47100
Egoda Uyana	47460	47520
Koralawella	47700	47760
Moratuwa	48000	48120
Lunawa	48300	48360
Angulana	48540	48600
Ratmalana	48780	48840
Mount Lavinia	49080	49200
Dehiwala	49440	49500
Wellawatta	49740	49800
Bambalapitiya	50040	50100
Kollupitiya	50280	50340
Kompannavediya	50520	50580
Secretartat Halt	50700	50760
Colombo Fort	50880	51000
Maradana	51300	
