station_name	time_arrive	time_depart
Colombo Fort		28800
Maradana	29040	29100
Dematagoda	29280	29340
Kelaniya	29580	29640
Wanawasala	29760	29820
Hunupitiya	29940	30000
Enderamulla	30120	30180
Horape	30360	30420
Ragama	30540	30600
Walpola	30780	30840
Batuwatte	30960	31020
Bulugahagoda	31140	31200
Ganemulla	31320	31380
Yagoda	31560	31620
Gampaha	31800	31860
Daraluwa	32040	32100
Bemmulla	32280	32340
Magalegoda	32520	32580
Heendeniya	32700	32760
Veyangoda	32940	33300
Wandurawa	33420	33480
Keenawala	33600	33660
Pallewala	33840	33900
Ganegoda	34020	34080
Wijayarajadahana	34200	34260
Mirigama	34380	34440
Wilwatte	34620	34680
Botale	34800	34860
Ambeypussa	34980	35040
Yattalgoda	35280	35340
Buthgamuwa	35520	35580
Alawwa	35820	35880
Wlakubura	36120	36180
Polgahawela	36420	36960
Panaleeya	37200	37260
Yatagama	37260	37320
Tismalpola	37500	37560
Rambukkana	38100	
