station_name	time_arrive	time_depart
Rathgama	75780	75840
Maradana		63900
Colombo Fort	64200	64260
Wellawatta	64260	64320
Secretartat Halt	64380	64440
Dehiwala	64560	64620
Kompannavediya	64560	64620
Kollupitiya	64740	64800
Bambalapitiya	64980	65040
Angulana	65220	65280
Lunawa	65400	65460
Mount Lavinia	65460	65520
Ratmalana	65700	65760
Koralawella	65880	65940
Egoda Uyana	66060	66120
Moratuwa	66060	66120
Panadura	66600	66660
Pinwatte	66900	66960
Wadduwa	67200	67260
Train Halt 01	67500	67560
Kalutara North	67800	67860
Kalutara South	68100	68160
Katukurunda	68340	68400
Payagala North	68580	68640
Payagala South	68760	68820
Maggona	69000	69060
Beruwala	69300	69360
Hettimulla	69540	69600
Aluthgama	69840	69900
Bentota	70020	70080
Induruwa	70320	70380
Mha Induruwa	70560	70620
Kosgoda	70860	70920
Balapitiya	71340	71400
Ahungalle	71580	71640
Piyagama	71640	71700
Patagamgoda	72000	72060
Kandegoda	72120	72180
Andadola	72360	72420
Hikkaduwa	72540	72600
Ambalangoda	72780	72840
Madampagama	73080	73140
Kahawa	73440	73500
Seenigama	73860	73920
Akurala	74160	74220
Thiranagama	74280	74340
Kumarakanda	74460	74520
Telwatte	74580	74640
Dodanduwa	74700	74760
Habaraduwa	74880	74940
Boossa	75120	0
Ahangama	75300	75360
Ginthota	75360	75420
Piyadigama	75540	75600
Galle	75660	
