station_name	time_arrive	time_depart
Colombo Fort		35100
Ragama	36360	36420
Gampaha	37080	37140
Veyangoda	37800	37860
Mirigama	38520	38580
Polgahawela	39960	40020
Rambukkana	40740	40920
Ihalakotte	42240	42300
Kadugannawa	43500	43560
Gelioya	45240	46140
Gampola	46800	46860
Nawalapitiya	48360	48600
Hatton	52560	52680
Kotagala	53280	54060
Talawakele	54960	55020
Watagoda	55920	55980
Great Western	56640	56700
Radella	57240	57300
Nanuoya	57840	58080
Ambewela	59820	59880
Pattipola	60300	60360
Ohiya	61140	61200
Idalgasinna	62220	62280
Haputale	63120	63180
Diyatalawa	63780	63840
Bandarawela	64620	64680
Kinigama	64980	65040
Heel Oya	65520	65580
Kital Elle	66000	66060
Elle	66360	66420
Demodara	67200	67260
Uduwara	67800	67860
Haliela	68400	68460
Badulla	69420	
