station_name	time_arrive	time_depart
Colombo Fort		21300
Ragama	22560	22680
Gampaha	23400	23460
Veyangoda	24060	24180
Mirigama	24840	24900
Polgahawela	26100	26220
Rambukkana	26880	27060
Kadigamuwa	27720	27780
Ihalakotte	28380	28440
Balana	29040	29100
Kadugannawa	29580	29640
Pilimatalawa	30000	30300
Kandy	31560	32100
Peradeniya	32160	32220
Sarasaviuyana	32520	32580
Gelioya	33240	33300
Gampola	34020	34740
Tembligala	35100	35160
Ulapane	35580	35640
Nawalapitiya	36480	36720
Inguruoya	37380	37440
Galaboda	38100	38160
Watawala	39180	39240
Ihalawatawala	39540	39600
Rosella	40080	40140
Hatton	40980	41100
Kotagala	41700	41760
Maradana	42240	42300
Dematagoda	42480	42540
Talawakele	42600	42720
Wanawasala	42900	42960
Watagoda	43560	43620
Great Western	44220	44520
Radella	45000	45060
Nanuoya	45540	45900
Perakumpura	46560	46620
Ambewela	47760	47820
Pattipola	48240	48300
Ohiya	49080	49140
Idalgasinna	50160	50820
Haputale	51660	51720
Diyatalawa	52320	52440
Bandarawela	53160	53280
Kinigama	53580	53640
Heel Oya		54180
Kital Elle	54660	54720
Elle	55020	55140
Demodara	55920	55980
Uduwara	56460	56520
Haliela	57000	57060
Badulla	57960	
