station_name	time_arrive	time_depart
Rambukkana		39600
Yatagama	39900	39960
Tismalpola	40140	40200
Panaleeya	40380	40440
Polgahawela	40680	40800
Wlakubura	41040	41100
Alawwa	41340	41400
Buthgamuwa	41640	41700
Yattalgoda	41880	41940
Ambeypussa	42180	42240
Botale	42360	42420
Wilwatte	42540	42600
Mirigama	42780	42840
Wijayarajadahana	42960	43020
Ganegoda	43140	43200
Pallewala	43320	43380
Keenawala	43560	43620
Wandurawa	43740	43800
Veyangoda	43920	44520
Heendeniya	44700	44760
Magalegoda	44880	44940
Bemmulla	45120	45180
Daraluwa	45360	45420
Gampaha	45600	45660
Yagoda	45780	45840
Ganemulla	46020	46080
Bulugahagoda	46200	46260
Batuwatte	46380	46440
Walpola	46560	46620
Ragama	46800	46860
Horape	46980	47040
Enderamulla	47220	47280
Hunupitiya	47400	47460
Wanawasala	47580	47640
Kelaniya	47760	47820
Dematagoda	48060	48120
Colombo Fort	48600	
