station_name	time_arrive	time_depart
Rambukkana		51300
Yatagama	51600	51660
Tismalpola	51840	51900
Panaleeya	52080	52140
Polgahawela	52380	52680
Wlakubura	52920	52980
Alawwa	53220	53280
Buthgamuwa	53520	53580
Yattalgoda	53700	53760
Ambeypussa	54000	54060
Botale	54180	54240
Mirigama	54600	54660
Wilwatte	54720	54780
Ganegoda	54960	55020
Wijayarajadahana	55140	55200
Pallewala	55140	55200
Keenawala	55380	55440
Wandurawa	55560	55620
Veyangoda	55740	55800
Heendeniya	55980	56040
Magalegoda	56160	56220
Daraluwa	56640	56700
Bemmulla	56760	56820
Gampaha	56880	56940
Yagoda	57060	57120
Ganemulla	57300	57360
Bulugahagoda	57480	57540
Batuwatte	57660	57720
Walpola	57840	57900
Ragama	58080	58500
Horape	58620	58680
Enderamulla	58860	58920
Hunupitiya	59040	59100
Wanawasala	59220	59280
Kelaniya	59400	59460
Dematagoda	59700	59760
Colombo Fort	60360	
