station_name	time_arrive	time_depart
Rambukkana		14700
Yatagama	15000	15060
Tismalpola	15240	15300
Panaleeya	15480	15540
Polgahawela		15900
Wlakubura	16140	16200
Alawwa	16440	16500
Buthgamuwa	16740	16800
Yattalgoda	16980	17040
Ambeypussa	17280	17340
Botale	17460	17520
Wilwatte	17640	17700
Mirigama	17880	17940
Wijayarajadahana	18120	18180
Ganegoda	18300	18360
Pallewala	18480	18540
Keenawala	18720	18780
Wandurawa	18900	18960
Veyangoda	19080	19140
Heendeniya	19320	19380
Magalegoda	19500	19560
Bemmulla	19740	19800
Daraluwa	19980	20040
Gampaha	20220	20340
Yagoda	20520	20580
Ganemulla	20760	20820
Bulugahagoda	21000	21060
Batuwatte	21180	21240
Walpola	21360	21420
Ragama	21600	21720
Horape	21840	21900
Enderamulla	22080	22140
Hunupitiya	22260	22320
Wanawasala	22500	22560
Kelaniya	22740	22800
Dematagoda	23040	23100
Colombo Fort	23640	
