station_name	time_arrive	time_depart
Polgahawela		19500
Wlakubura	19800	19860
Alawwa	20160	20220
Buthgamuwa	20520	20580
Yattalgoda	20820	20880
Ambeypussa	21180	21240
Mirigama	21720	21780
Wijayarajadahana	22020	22080
Ganegoda	22200	22260
Pallewala	22440	22500
Keenawala	22680	22740
Wandurawa	22920	22980
Veyangoda	23100	23520
Heendeniya	23460	23520
Magalegoda	23640	23700
Daraluwa	24240	24300
Gampaha	24780	24840
Ganemulla	25200	25320
Ragama	25800	25920
Dematagoda	26760	26880
Maradana	27600	
