station_name	time_arrive	time_depart
Colombo Fort		68700
Maradana	68940	69000
Dematagoda	69180	69240
Kelaniya	69480	69540
Wanawasala	69720	69780
Hunupitiya	69960	70020
Enderamulla	70140	70200
Horape	70380	70440
Ragama	70560	70620
Peralanda	70800	70860
Kandana	71040	71100
Kapuwatte	71220	71280
Ja-ela	71400	71460
Tudella	71640	71700
Kudahakapola	71820	71880
Alawatupitiya	72000	72060
Seeduwa	72240	72300
Liyanagemulla	72480	72540
Free Trade Zone	72660	72720
Katunayake	72840	72900
Kurana	73140	73200
Negombo	73500	73560
Kattuwa	73860	73920
Kochchikade	74160	74220
Waikkala	74340	74400
Bolawatte	74580	74640
Borelessa	74880	74940
Lunuwila	75240	75300
Tummodara	75720	75780
Nattandiya	76020	76080
Walahapitiya	76320	76380
Kuda Wawa	76620	76680
Nelumpokuna	76920	76980
Madampe	77100	77160
Kakkapalliya	77520	77580
Sawarana	77760	77820
Chilaw	78060	
