station_name	time_arrive	time_depart
Colombo Fort		32100
Maradana	32340	32400
Dematagoda	32580	32640
Kelaniya	32880	32940
Wanawasala	33120	33180
Hunupitiya	33360	33420
Enderamulla	33540	33600
Horape	33780	33840
Ragama	33960	34020
Walpola	34200	34260
Batuwatte	34380	34440
Bulugahagoda	34560	34620
Ganemulla	34800	34860
Gampaha	35280	35340
Daraluwa	35520	35580
Bemmulla	35760	35820
Magulegoda	36000	36060
Heendeniya	36180	36240
Veyangoda	36420	36480
Wandurawa	36600	36660
Keenawala	36780	36840
Pallewala	37020	37080
Ganegoda	37200	37260
Wijayarajadahana	37380	37440
Mirigama	37620	37680
Wilwatte	37860	37920
Botale	38040	38100
Ambeypussa	38220	38280
Yattalgoda	38520	38580
Buthgamuwa	38760	38820
Alawwa	39060	39120
Wlakubura	39360	39420
Polgahawela	39660	39720
Girambe	40080	40140
Kurunegala	41700	
