station_name	time_arrive	time_depart
Medawachchiya		23100
Viralmurippuwa	23520	23580
Medagama	24000	24060
Siyabalangamuwa	24300	24360
Parasangahawewa	24660	24720
Saliyapura	25260	25320
Mihintale Junction	25680	25740
Sarasaviuyana	59880	59940
Homagama		68400
Homagama Hospital	68580	68640
Malapalle	68880	68940
Kottawa	69180	69960
Pannipitiya	70260	70320
Maharagama	70620	72000
Nawinna	72180	72240
Udhamulla	72480	72540
Pangiriwatta	72660	72720
Nugegoda	72900	73860
Kirulapana	74100	74160
Narahenpita	74400	74460
Cotta Road	74700	74760
Maradana	77100	
