station_name	time_arrive	time_depart
Moratuwa	28800	28860
Bambalapitiya	30060	30120
Kompannavediya	30480	30540
Hikkaduwa		19500
Madampagama	20220	20280
Balapitiya	20640	20700
Kosgoda	21240	21300
Galle		21600
Induruwa	21660	21720
Ginthota	21960	22020
Aluthgama	22080	22140
Boossa	22200	22260
Dodanduwa	22500	22560
Beruwala	22500	22560
Payagala South	23100	23160
Kahawa	23220	23280
Ambalangoda	23580	23640
Ahungalle	24300	24360
Wellawatta	26100	26160
Maggona	26400	26460
Kollupitiya	26640	26700
Kalutara South	27060	27120
Secretartat Halt	27720	27780
Colombo Fort	27900	27960
Panadura	28200	28260
Maradana	28200	
