station_name	time_arrive	time_depart
Nooranagar		35400
Puttalam	35700	35760
Thilladiya	35940	36000
Palavi	36240	36300
Erukkalam Pendu	36420	36480
Madurankuliya	36900	36960
Mangalaeliya	37320	37380
Mundal	37920	37980
Pulachchikulam	38280	38340
Battaluoya	38580	38640
Anawilundawa	38880	38940
Arachchikattuwa	39180	39240
Bangadeniya	39480	39540
Manuwangama	39780	39840
Chilaw	40260	40620
Sawarana	40860	40920
Kakkapalliya	41100	41160
Waikkala	41220	41280
Madampe	41520	41580
Nelumpokuna	41700	41760
Kuda Wawa	42000	42600
Walahapitiya	42840	42900
Nattandiya	43140	43200
Tummodara	43440	43500
Lunuwila	43920	43980
Borelessa	44280	44340
Bolawatte	44580	44640
Kochchikade	45000	45060
Kattuwa	45300	45360
Negombo	45660	46800
Katunayake	46320	46380
Liyanagemulla	46680	46740
Kurana	47100	47160
Kudahakapola	47340	47400
Free Trade Zone	47640	47700
Seeduwa	48120	48180
Alawatupitiya	48360	48420
Tudella	48780	48840
Ja-ela	49020	49080
Hunupitiya	49200	49260
Kapuwatte	49260	49320
Kandana	49440	49500
Peralanda	49680	49740
Ragama	49920	49980
Horape	50100	50160
Enderamulla	50340	49200
Wanawasala	50760	50820
Kelaniya	51000	51060
Dematagoda	51300	51360
Colombo Fort	51840	
